symbol,name,price,assets,avg_vol,ytd,inverse,leveraged,week1,week4,year1,year3,year5,etfdb,inception,er,commission_free,annual_dividend_rate,dividend_date,dividend,annual_dividend_yield,p_e_ratio,beta,holdings,top_10,l_bollinger,u_bollinger,support1,resistance1,rsi,day_200,cap_gains,lt_cap_gains,tax_form,liquidity,expenses,performance,volatility,score_dividend,concentration,overall
TWM,UltraShort Russell2000 ETF,28.74,160274.2,793406,-26.85%,Yes,2x,-4.90%,-3.46%,-29.51%,-50.72%,-87.81%,Leveraged Equities,2007-01-23,0.95%,Not Available,n/a,2008-12-23,$0.07,0.00%,n/a,-2.66,12,199.46%,$28.33,$30.91,$28.42,$28.90,41,33.06%,35%,15%,1099,A-,B-,A,A,n/a,n/a,A-
PSQ,Short QQQ ETF,47.75,377661.4,622218,-8.52%,Yes,No,-0.83%,-1.77%,-16.27%,-41.80%,-64.31%,Inverse Equities,2006-06-19,0.95%,Not Available,n/a,2008-12-23,$0.00,0.00%,n/a,-1.06,11,100.00%,$47.55,$49.34,$47.56,$47.88,40,13.68%,35%,15%,1099,A-,B,A,A,n/a,n/a,A
QID,UltraShort QQQ ETF,24.43,393902,2510395,-17.77%,Yes,2x,-1.73%,-3.55%,-31.55%,-67.79%,-88.34%,Leveraged Equities,2006-07-11,0.95%,Not Available,n/a,2008-12-23,$0.01,0.00%,n/a,-2.08,13,199.78%,$24.24,$26.12,$24.23,$24.55,40,27.33%,35%,15%,1099,A,B-,B+,B+,n/a,n/a,B+
RXD,UltraShort Health Care ETF,42.81,4687.7,2442,-9.66%,Yes,2x,-3.36%,-2.44%,-20.69%,-64.79%,-90.09%,Leveraged Equities,2007-01-30,0.95%,Not Available,n/a,2008-12-23,$29.66,0.00%,n/a,2.08,9,248.97%,$42.71,$45.25,n/a,n/a,45,25.04%,35%,15%,1099,C+,B-,A-,A-,n/a,n/a,B
REW,UltraShort Technology ETF,34.02,4289.3,2352,-25.90%,Yes,2x,-1.85%,-4.17%,-37.64%,-68.50%,-86.35%,Leveraged Equities,2007-01-30,0.95%,Not Available,n/a,2008-12-23,$26.50,0.00%,n/a,-1.98,9,200.13%,$33.70,$36.44,$33.87,$34.09,38,28.13%,35%,15%,1099,B-,B-,B+,B+,n/a,n/a,B
SSG,UltraShort Semiconductors ETF,26.36,7076.8,7300,-33.27%,Yes,2x,1.74%,-3.02%,-54.77%,-78.72%,-90.88%,Leveraged Equities,2007-01-30,0.95%,Not Available,n/a,2008-12-23,$40.00,0.00%,n/a,-3.15,7,265.06%,$25.38,$28.35,$25.89,$26.60,41,37.86%,35%,15%,1099,C+,B-,A-,B,n/a,n/a,B-
SKF,UltraShort Financials ETF,39.41,50523.1,47480,-14.06%,Yes,2x,-3.38%,-1.18%,-25.91%,-51.99%,-88.81%,Leveraged Equities,2007-01-30,0.95%,Not Available,n/a,2008-09-24,$0.18,0.00%,n/a,-2.09,8,200.00%,$37.93,$40.98,$39.17,$39.53,45,30.58%,35%,15%,1099,B+,B-,A-,A-,n/a,n/a,B+
DUG,UltraShort Oil & Gas ETF,48.70,45888.9,122632,-32.24%,Yes,2x,-0.67%,4.13%,-34.81%,-13.93%,-68.97%,Leveraged Equities,2007-01-30,0.95%,Not Available,n/a,2008-12-23,$6.08,0.00%,n/a,-3.48,10,200.21%,$44.52,$50.02,$47.45,$49.58,52,39.76%,35%,15%,1099,B+,B-,A,B,n/a,n/a,B+
SRS,UltraShort Real Estate ETF,33.12,33120.3,52142,-26.09%,Yes,2x,-8.03%,-3.33%,-37.60%,-60.92%,-84.00%,Leveraged Real Estate,2007-01-30,0.95%,Not Available,n/a,2008-12-23,$4.59,0.00%,n/a,3.04,10,259.05%,$31.95,$36.84,$32.71,$33.73,45,27.90%,35%,15%,1099,A,C,B,A,n/a,n/a,B
PST,UltraShort Barclays 7-10 Year Treasury ETF,20.19,134662.5,39525,-13.12%,Yes,2x,-1.03%,-0.79%,-12.67%,-32.41%,-34.49%,Inverse Bonds,2008-04-29,0.95%,Not Available,n/a,2008-12-23,$0.00,0.00%,n/a,0.87,7,200.65%,$20.02,$20.56,n/a,n/a,48,10.67%,35%,15%,1099,A,C+,B+,A,n/a,n/a,B+
TBT,UltraShort Barclays 20+ Year Treasury ETF,31.96,1931420.8,2628523,-27.48%,Yes,2x,-2.98%,1.62%,-27.59%,-58.73%,-57.48%,Leveraged Bonds,2008-04-29,0.92%,Not Available,n/a,2008-09-24,$0.17,0.00%,n/a,2.10,8,200.78%,$29.95,$33.90,n/a,n/a,50,24.73%,35%,15%,1099,A+,A,A-,B,n/a,n/a,A+
DDG,Short Oil & Gas ETF,26.30,5814,5334,-15.24%,Yes,No,0.42%,2.94%,-15.81%,0.42%,-37.96%,Inverse Equities,2008-06-10,0.95%,Not Available,n/a,2008-12-23,$24.31,0.00%,n/a,-1.83,8,99.92%,$24.93,$26.62,$25.99,$26.45,54,21.48%,35%,15%,1099,B-,B-,A-,B-,n/a,n/a,B+
SEF,Short Financials ETF,15.81,36225,54011,-6.28%,Yes,No,-1.62%,-0.94%,-13.08%,-29.26%,-64.51%,Inverse Equities,2008-06-10,0.95%,Not Available,n/a,2008-12-23,$3.44,0.00%,n/a,-0.99,8,99.92%,$15.52,$16.12,$15.77,$15.84,45,15.15%,35%,15%,1099,B,C+,C+,A-,n/a,n/a,A-
TZA,Direxion Daily Small Cap Bear 3x Shares ETF,26.74,528260.2,7087921,-40.58%,Yes,3x,-7.38%,-5.75%,-44.71%,-70.90%,-96.91%,Leveraged Equities,2008-11-05,0.95%,Not Available,n/a,n/a,n/a,0.00%,n/a,-4.01,9,337.89%,$26.27,$29.92,$26.31,$26.96,41,49.73%,35%,15%,1099,A,B,A,B,n/a,n/a,B+
FAZ,Direxion Daily Financial Bear 3x Shares ETF,31.34,312774.9,2052043,-23.90%,Yes,3x,-4.77%,-2.06%,-39.73%,-71.99%,-97.25%,Leveraged Equities,2008-11-06,0.95%,Not Available,n/a,n/a,n/a,0.00%,n/a,-3.02,9,319.43%,$29.78,$33.09,$31.07,$31.49,45,45.28%,35%,15%,1099,A-,B,A-,B-,n/a,n/a,B
ERY,Direxion Daily Energy Bear 3x Shares ETF,14.26,73858.5,2027043,-51.35%,Yes,3x,-1.25%,3.56%,-54.94%,-41.75%,-89.64%,Leveraged Equities,2008-11-06,0.95%,Not Available,n/a,n/a,n/a,0.00%,n/a,-5.29,8,325.06%,$12.75,$14.90,$13.71,$14.65,50,59.74%,35%,15%,1099,A-,B,A,C,n/a,n/a,B
VOX,Vanguard Telecommunication Services ETF,95.12,1444962.7,228374,15.70%,No,No,1.99%,1.63%,21.89%,33.35%,91.98%,Communications Equities,2004-09-23,0.12%,Vanguard,$2.54,2016-09-20,$0.81,2.68%,22.80,-1.54,33,71.17%,$92.08,$95.64,$94.65,$95.47,52,15.00%,35%,15%,1099,A,A+,A-,A,A,B-,A+
IYZ,iShares U.S. Telecommunications ETF,32.72,557535,703952,14.86%,No,No,1.68%,2.73%,18.35%,26.66%,81.72%,Communications Equities,2000-05-22,0.45%,Not Available,$0.52,2016-06-21,$0.14,1.59%,4.15,-1.70,25,63.36%,$31.72,$32.69,$32.58,$32.81,53,18.53%,35%,15%,1099,A+,B,B+,A-,B,C,B+
PBS,PowerShares Dynamic Media Portfolio ETF,25.24,79726.5,12731,0.56%,No,No,1.32%,0.68%,4.90%,10.71%,118.37%,Consumer Discretionary Equities,2005-06-23,0.62%,Charles Schwab,$0.17,2016-09-16,$0.04,0.66%,17.93,-1.19,31,45.60%,$24.65,$25.56,$25.20,$25.31,51,15.29%,35%,15%,1099,A,B,A,B,C+,B-,B+
LTL,Ultra Telecommunications ProShares ETF,100.55,5270.5,1577,22.02%,No,2x,-3.50%,3.32%,21.54%,31.63%,165.56%,Leveraged Equities,2008-03-27,0.95%,Not Available,$0.99,2016-09-21,$0.43,0.94%,20.40,-2.99,34,145.53%,$95.55,$109.48,$99.42,$101.39,42,36.50%,35%,15%,1099,C,B,B,B+,n/a,n/a,B+
PFI,PowerShares DWA Financial Momentum Portfolio ETF,31.08,27981,2520,2.17%,No,No,3.19%,0.31%,7.25%,23.73%,118.03%,Financials Equities,2006-10-12,0.61%,Not Available,$0.41,2016-09-16,$0.12,1.32%,25.92,-1.19,48,35.83%,$29.93,$31.62,$31.08,$31.08,54,12.30%,35%,15%,1099,C+,C+,B,A-,C+,B-,C
KRE,SPDR S&P Regional Banking ETF,42.23,2012365,5398723,2.18%,No,No,1.51%,0.74%,5.57%,25.19%,142.96%,Financials Equities,2006-06-19,0.35%,Not Available,$0.80,2016-09-16,$0.19,1.89%,14.15,1.35,98,37.33%,$41.47,$42.84,$41.93,$42.54,57,24.85%,35%,15%,1099,A,A,B-,B+,B-,B+,A-
PGX,PowerShares Preferred Portfolio ETF,15.28,4780026,2464368,6.71%,No,No,1.26%,0.06%,10.72%,33.92%,53.89%,Preferred Stock/Convertible Bonds,2008-01-31,0.50%,Charles Schwab,$0.86,2016-09-15,$0.07,5.64%,n/a,0.42,251,21.11%,$15.05,$15.41,$15.24,$15.30,57,4.15%,35%,15%,1099,A,B+,B+,A,A,A,A
FXO,First Trust Financials AlphaDEX Fund,24.40,782455.5,306363,6.25%,No,No,1.91%,0.74%,9.90%,28.40%,127.24%,Financials Equities,2007-05-08,0.80%,Not Available,$0.38,2016-09-21,$0.09,1.53%,13.77,1.07,175,10.67%,$23.85,$24.84,$24.35,$24.49,54,16.12%,35%,15%,1099,A,C+,B,A,B,A,A
IAI,iShares U.S. Broker-Dealers & Securities Exchanges ETF,41.85,99217,26883,1.90%,No,No,0.75%,2.22%,9.80%,32.04%,126.22%,Financials Equities,2006-05-01,0.43%,Not Available,$0.78,2016-06-21,$0.15,1.84%,16.32,1.15,27,67.76%,$41.06,$42.20,$41.71,$42.10,59,21.44%,35%,15%,1099,B+,B,A+,B,B-,C+,B+
PGF,PowerShares Financial Preferred Portfolio ETF,19.17,1831696,520746,6.22%,No,No,1.54%,-0.45%,11.03%,33.73%,63.77%,Preferred Stock/Convertible Bonds,2006-12-01,0.63%,Not Available,$1.07,2016-09-15,$0.08,5.57%,n/a,-0.50,90,29.79%,$18.83,$19.46,$19.14,$19.21,53,4.68%,35%,15%,1099,A,B-,A-,A+,A,B,B+
KCE,SPDR S&P Capital Markets ETF,40.88,73980,22811,-4.45%,No,No,1.11%,1.19%,-0.99%,-0.10%,80.74%,Financials Equities,2005-11-08,0.35%,Not Available,$1.04,2016-09-16,$0.23,2.54%,14.84,1.43,44,31.67%,$40.18,$41.21,$40.71,$41.07,56,25.97%,35%,15%,1099,B,A-,A-,C+,A-,B-,B+
IAT,iShares U.S. Regional Banks ETF,35.36,285050.5,317977,2.13%,No,No,1.17%,0.80%,7.52%,23.42%,119.28%,Financials Equities,2006-05-01,0.43%,Not Available,$0.64,2016-06-21,$0.18,1.82%,13.89,1.22,56,61.10%,$34.88,$35.86,$35.22,$35.55,56,22.64%,35%,15%,1099,A,B,B-,A,B-,B,A-
KIE,SPDR S&P Insurance ETF,73.94,617760,142308,7.63%,No,No,1.26%,0.81%,11.49%,36.96%,162.24%,Financials Equities,2005-11-08,0.35%,Not Available,$1.23,2016-09-16,$0.29,1.65%,12.71,1.03,48,25.50%,$72.94,$75.19,$73.68,$74.47,54,15.89%,35%,15%,1099,A-,B+,A-,A,B,B,A
VFH,Vanguard Financials ETF,49.49,3725390,638369,3.65%,No,No,1.03%,-0.30%,9.69%,26.24%,124.06%,Financials Equities,2004-01-26,0.12%,Vanguard,$1.07,2016-09-20,$0.29,2.15%,16.60,0.97,570,31.82%,$48.94,$50.69,$49.36,$49.74,51,15.57%,35%,15%,1099,A-,A,B,A-,B+,A+,A+
IAK,iShares U.S. Insurance ETF,53.07,90848,9623,4.74%,No,No,1.45%,1.03%,11.40%,28.10%,140.73%,Financials Equities,2006-05-01,0.43%,Not Available,$0.95,2016-06-21,$0.22,1.78%,12.93,0.98,62,57.89%,$52.27,$53.59,$52.96,$53.20,55,16.36%,35%,15%,1099,B+,B,A,A-,C+,B,A-
IYF,iShares U.S. Financials ETF,90.96,1548721.7,479655,3.83%,No,No,1.72%,0.41%,10.03%,26.98%,126.34%,Financials Equities,2000-05-22,0.43%,Not Available,$1.61,2016-06-21,$0.35,1.76%,15.79,1.04,280,37.29%,$89.15,$92.87,$90.81,$91.23,54,15.81%,35%,15%,1099,A,B,B+,B+,C,A,A-
IYG,iShares U.S. Financial Services ETF,88.53,756415,113649,-0.82%,No,No,0.93%,0.15%,5.07%,20.74%,132.34%,Financials Equities,2000-06-12,0.43%,Not Available,$1.29,2016-06-21,$0.31,1.45%,13.55,1.10,114,57.37%,$87.58,$90.50,$88.29,$88.93,54,20.23%,35%,15%,1099,A-,B-,A,B,C,A-,B+
KBE,SPDR S&P Bank ETF,33.46,2371419.6,3370643,0.25%,No,No,1.33%,0.53%,3.15%,16.68%,114.27%,Financials Equities,2005-11-08,0.35%,Not Available,$0.60,2016-09-16,$0.15,1.78%,13.42,1.27,62,26.13%,$32.91,$34.07,$33.27,$33.68,56,24.46%,35%,15%,1099,A,A-,B+,B+,B,B,A
RYF,Guggenheim S&P 500 Equal Weight Financials ETF,31.16,108295.5,58628,5.01%,No,No,1.36%,0.26%,11.50%,29.02%,134.32%,Financials Equities,2006-11-01,0.40%,Charles Schwab,$0.75,2016-09-16,$0.01,2.37%,17.00,1.11,93,12.02%,$30.64,$31.82,$31.05,$31.35,52,16.45%,35%,15%,1099,B+,B+,B+,A-,B,B+,A-
XLF,Financial Select Sector SPDR Fund,19.38,11988209.6,52965613,1.05%,No,No,0.92%,-0.67%,7.78%,22.77%,124.91%,Financials Equities,1998-12-16,0.15%,Not Available,$0.39,2016-09-16,$0.11,1.99%,14.80,1.04,94,45.42%,$19.14,$19.99,$19.32,$19.48,50,16.60%,35%,15%,1099,A+,A,A-,B+,B-,B+,A
UYG,Ultra Financials ETF,73.62,674113.7,54025,4.29%,No,2x,3.45%,0.57%,16.05%,46.52%,322.05%,Leveraged Equities,2007-01-30,0.95%,Not Available,$0.64,2016-09-21,$0.14,0.86%,16.01,2.09,293,128.37%,$70.69,$76.85,$73.41,$73.98,53,31.38%,35%,15%,1099,B+,B,B-,A-,n/a,n/a,A
RWW,Oppenheimer Financials Sector Revenue ETF,48.39,21892.5,1065,1.45%,No,No,0.21%,0.04%,8.40%,19.75%,137.66%,Financials Equities,2008-11-10,0.49%,Not Available,$0.69,2016-07-05,$0.15,1.42%,13.19,1.05,93,56.59%,$47.94,$49.44,$48.33,$48.50,53,18.40%,35%,15%,1099,B-,B-,A,B,C,B+,B-
FAS,Direxion Daily Financial Bull 3x Shares ETF,29.70,1102342,3363032,2.17%,No,3x,4.95%,0.75%,18.33%,61.81%,598.82%,Leveraged Equities,2008-11-06,0.95%,Not Available,n/a,2010-03-23,$0.29,0.97%,16.42,3.04,257,289.98%,$28.05,$31.64,$29.55,$29.96,53,46.20%,35%,15%,1099,A,B-,C+,B-,n/a,n/a,A-
EWC,iShares MSCI Canada ETF,25.43,3101813.2,1990323,19.20%,No,No,2.09%,-0.66%,12.75%,-4.49%,10.85%,Foreign Large Cap Equities,1996-03-12,0.49%,TD Ameritrade,$0.49,2016-06-22,$0.20,1.88%,16.17,1.44,97,43.77%,$24.65,$26.25,$25.32,$25.59,51,16.65%,35%,15%,1099,A,B-,C,B+,B,C+,C+
BBH,VanEck Vectors Biotech ETF,118.57,619682.7,72071,-6.60%,No,No,1.37%,2.86%,-1.82%,43.02%,269.01%,Health & Biotech Equities,2011-12-20,0.35%,Not Available,$0.34,2015-12-21,$0.34,0.28%,18.84,1.69,25,72.85%,$112.42,$118.86,$118.17,$119.36,59,22.33%,35%,15%,1099,A-,A,A+,C,C+,C,B-
IHE,iShares U.S. Pharmaceuticals ETF,156.22,623400,17765,-2.94%,No,No,1.88%,4.23%,-1.79%,48.12%,153.08%,Health & Biotech Equities,2006-05-01,0.43%,Not Available,$1.47,2016-06-21,$0.33,0.94%,30.39,-1.49,38,58.92%,$146.21,$155.51,$155.65,$156.79,60,19.15%,35%,15%,1099,B,B,C,B,A-,B-,C+
XBI,SPDR S&P Biotech ETF,68.14,2625851.8,6646477,-2.70%,No,No,5.30%,11.57%,-5.53%,60.05%,246.19%,Health & Biotech Equities,2006-01-31,0.35%,Not Available,$0.28,2016-09-16,$0.03,0.41%,16.86,2.68,88,26.95%,$57.87,$68.91,$67.76,$68.86,64,32.56%,35%,15%,1099,A,A-,B,C,C,B+,B-
XPH,SPDR S&P Pharmaceuticals ETF,46.91,528465.4,130178,-8.05%,No,No,1.36%,4.28%,-11.52%,30.17%,128.21%,Health & Biotech Equities,2006-06-19,0.35%,Not Available,$0.23,2016-09-16,$0.06,0.49%,13.58,1.72,37,47.66%,$43.87,$46.74,$46.59,$47.16,59,22.98%,35%,15%,1099,B,A-,B,B,A,C+,B
IBB,iShares Nasdaq Biotechnology ETF,298.18,7772072,1492359,-11.76%,No,No,2.25%,4.57%,-8.48%,42.51%,219.52%,Health & Biotech Equities,2001-02-05,0.48%,Not Available,$0.35,2016-06-21,$0.16,0.12%,22.64,1.94,186,57.46%,$275.57,$299.07,$296.86,$300.65,59,25.01%,35%,15%,1099,A,B,A,C+,C+,A,B+
FBT,First Trust NYSE Arca Biotechnology Index Fund,101.88,892707,81712,-9.86%,No,No,2.62%,4.43%,-7.31%,54.88%,201.43%,Health & Biotech Equities,2006-06-19,0.60%,Not Available,$0.02,2015-09-23,$0.02,0.02%,21.73,-2.29,31,36.98%,$95.23,$103.12,$101.56,$102.51,56,27.57%,35%,15%,1099,A-,C+,A,C+,C,C,C
PJP,PowerShares Dynamic Pharmaceuticals Portfolio ETF,64.35,1074424.5,131522,-7.60%,No,No,1.53%,-0.67%,-8.33%,47.63%,189.51%,Health & Biotech Equities,2005-06-23,0.58%,Not Available,$2.77,2016-09-16,$0.11,4.30%,26.96,-1.47,23,48.18%,$63.22,$65.33,$64.13,$64.63,47,18.25%,35%,15%,1099,A-,B-,A-,B-,B+,B-,B
PPH,VanEck Vectors Pharmaceutical ETF,59.36,242833.2,49946,-7.66%,No,No,1.12%,0.12%,-7.38%,28.97%,108.23%,Health & Biotech Equities,2011-12-20,0.35%,Not Available,$1.40,2016-07-01,$0.29,2.36%,28.26,-1.20,25,50.75%,$58.20,$59.61,$59.21,$59.52,49,15.24%,35%,15%,1099,A-,A-,C+,A+,A,C,A-
IYH,iShares U.S. Healthcare ETF,153.01,1980924,126575,2.61%,No,No,1.39%,0.97%,6.71%,46.31%,153.61%,Health & Biotech Equities,2000-06-12,0.43%,Not Available,$3.17,2016-06-21,$0.49,2.07%,25.12,-1.09,123,51.21%,$148.78,$153.24,n/a,n/a,54,12.98%,35%,15%,1099,B+,B,B+,B+,B+,A,A-
XLV,Health Care Select Sector SPDR Fund,73.11,12774839.2,8422746,2.66%,No,No,1.39%,0.44%,8.00%,48.24%,152.50%,Health & Biotech Equities,1998-12-16,0.15%,Not Available,$1.10,2016-09-16,$0.28,1.50%,16.72,-1.02,58,53.92%,$71.26,$73.41,n/a,n/a,52,12.50%,35%,15%,1099,A+,A,B+,B+,A-,B+,A
VHT,Vanguard Health Care ETF,134.76,5742060.4,194105,2.47%,No,No,1.44%,1.10%,6.48%,48.85%,158.94%,Health & Biotech Equities,2004-01-26,0.12%,Vanguard,$1.80,2016-09-20,$0.50,1.33%,25.70,-1.10,353,46.68%,$130.89,$134.96,n/a,n/a,54,13.19%,35%,15%,1099,A,A+,A-,B+,A,A+,A+
FXH,First Trust Health Care AlphaDEX Fund,61.06,1133383.6,146395,1.01%,No,No,1.03%,1.18%,-2.51%,40.40%,139.54%,Health & Biotech Equities,2007-05-08,0.66%,Not Available,n/a,2013-06-21,$0.01,0.01%,23.56,-1.14,78,23.93%,$59.65,$61.45,$60.89,$61.32,53,13.75%,35%,15%,1099,A,C+,A-,A-,C+,A-,B+
RYH,Guggenheim S&P 500 Equal Weight Health Care ETF,157.48,520707,25385,2.96%,No,No,1.70%,0.86%,7.66%,56.26%,164.36%,Health & Biotech Equities,2006-11-01,0.40%,Charles Schwab,$0.74,2016-09-16,$0.20,0.47%,22.96,-1.24,58,19.85%,$152.73,$157.90,n/a,n/a,54,14.38%,35%,15%,1099,C+,B+,B+,A,B-,B,B
PBE,PowerShares Dynamic Biotechnology & Genome Portfolio ETF,43.37,272875,29509,-14.10%,No,No,2.29%,5.92%,-13.08%,25.42%,140.64%,Health & Biotech Equities,2005-06-23,0.59%,Not Available,$0.34,2016-09-16,$0.03,0.77%,123.50,2.10,33,45.73%,$39.44,$43.65,$43.20,$43.69,61,27.66%,35%,15%,1099,B,C+,A,B-,A,C+,B-
PTH,PowerShares DWA Healthcare Momentum Portfolio ETF,53.61,78691.5,12488,-2.72%,No,No,5.68%,12.65%,-9.64%,23.90%,110.26%,Health & Biotech Equities,2006-10-12,0.60%,Not Available,n/a,2013-12-20,$0.03,0.06%,39.22,1.98,44,39.14%,$45.50,$54.11,$53.38,$54.00,69,18.94%,35%,15%,1099,B-,C+,B+,A,B+,A-,B+
IHF,iShares U.S. Healthcare Providers ETF,124.23,618700.5,86406,0.02%,No,No,0.94%,1.84%,-5.60%,43.25%,144.09%,Health & Biotech Equities,2006-05-01,0.43%,Not Available,$0.31,2016-06-21,$0.09,0.25%,20.84,-1.16,51,59.93%,$121.10,$124.73,$123.88,$124.93,50,14.75%,35%,15%,1099,B+,B+,A-,B,B,B,B+
IHI,iShares U.S. Medical Devices ETF,145.56,1411601.9,128018,19.03%,No,No,2.00%,1.58%,26.87%,75.63%,169.89%,Health & Biotech Equities,2006-05-01,0.43%,Not Available,$1.50,2016-06-21,$0.15,1.02%,37.53,1.25,47,60.64%,$139.92,$146.37,$145.06,$146.14,58,14.20%,35%,15%,1099,B+,B+,C+,B+,B-,B-,C+
